order_id,logistics_cost,warehouse_cost,sla_breach_flag
50322,158,98,0
50323,320,89,1
50324,234,109,1
50325,148,50,0
50326,123,70,0
50327,247,106,1
50328,156,93,0
50329,165,105,0
50330,372,80,1
50331,153,74,0
50332,209,56,1
50333,148,83,0
50334,132,67,0
50335,391,86,1
50336,157,49,0
50337,113,81,0
50338,371,118,1
50339,135,53,0
50340,299,94,1
50341,108,73,0
50342,158,112,0
50343,201,119,1
50344,261,44,1
50345,145,83,0
50346,143,77,0
50347,93,41,0
50348,335,100,1
50349,261,114,1
50350,383,101,1
50351,143,106,0
50352,95,97,0
50353,138,46,0
50354,368,115,1
50355,347,70,1
50356,399,41,1
50357,146,41,0
50358,85,57,0
50359,311,41,1
50360,286,114,1
50361,109,82,0
50362,256,84,1
50363,363,96,1
50364,141,79,0
50365,147,101,0
50366,336,59,1
50367,279,48,1
50368,373,42,1
50369,171,48,0
50370,94,70,0
50371,146,80,0
50372,119,106,0
50373,224,70,1
50374,103,57,0
50375,322,46,1
50376,282,69,1
50377,335,65,1
50378,324,81,1
50379,151,57,0
50380,220,90,1
50381,81,71,0
50382,175,60,0
50383,160,66,0
50384,385,83,1
50385,286,49,1
50386,108,73,0
50387,134,65,0
50388,134,118,0
50389,348,70,1
50390,148,111,0
50391,170,96,0
50392,134,65,0
50393,109,119,0
50394,112,99,0
50395,86,100,0
50396,369,44,1
50397,135,62,0
50398,394,80,1
50399,131,90,0
50400,82,97,0
50401,89,98,0
50402,269,73,1
50403,325,103,1
50404,161,43,0
50405,395,57,1
50406,304,42,1
50407,174,106,0
50408,95,101,0
50409,369,43,1
50410,95,81,0
50411,124,96,0
50412,92,95,0
50413,137,41,0
50414,287,83,1
50415,162,53,0
50416,250,43,1
50417,154,56,0
50418,167,84,0
50419,147,118,0
50420,149,54,0
50421,249,103,1
50422,208,71,1
50423,145,115,0
50424,279,119,1
50425,327,117,1
50426,390,112,1
50427,102,102,0
50428,358,56,1
50429,341,93,1
50430,119,84,0
50431,261,70,1
50432,299,40,1
50433,160,84,0
50434,114,70,0
50435,396,85,1
50436,209,61,1
50437,162,116,0
50438,344,50,1
50439,309,49,1
50440,178,42,0
50441,294,102,1
50442,257,83,1
50443,98,109,0
50444,326,65,1
50445,159,110,0
50446,114,73,0
50447,87,65,0
50448,80,62,0
50449,83,110,0
50450,138,87,0
50451,298,51,1
50452,115,56,0
50453,246,60,1
50454,316,62,1
50455,99,68,0
50456,365,63,1
50457,132,94,0
50458,319,44,1
50459,362,94,1
50460,303,114,1
50461,129,73,0
50462,98,65,0
50463,101,49,0
50464,149,83,0
50465,338,64,1
50466,143,96,0
50467,168,92,0
50468,172,71,0
50469,136,93,0
50470,139,101,0
50471,149,40,0
50472,137,74,0
50473,140,52,0
50474,373,87,1
50475,149,92,0
50476,121,75,0
50477,92,43,0
50478,249,61,1
50479,363,86,1
50480,165,116,0
50481,304,110,1
50482,355,46,1
50483,141,105,0
50484,110,97,0
50485,157,77,0
50486,261,119,1
50487,118,50,0
50488,143,71,0
50489,335,73,1
50490,167,65,0
50491,304,77,1
50492,175,85,0
50493,263,117,1
50494,93,66,0
50495,161,81,0
50496,166,43,0
50497,115,101,0
50498,380,95,1
50499,280,59,1
50500,390,94,1
50501,83,78,0
50502,143,118,0
50503,137,89,0
50504,205,97,1
50505,122,90,0
50506,364,115,1
50507,253,90,1
50508,362,117,1
50509,142,67,0
50510,210,46,1
50511,177,88,0
50512,110,83,0
50513,331,49,1
50514,136,59,0
50515,366,79,1
50516,162,46,0
50517,178,44,0
50518,136,97,0
50519,317,61,1
50520,167,49,0
50521,275,66,1
50522,143,44,0
50523,108,109,0
50524,364,68,1
50525,131,110,0
50526,98,41,0
50527,93,96,0
50528,97,52,0
50529,121,102,0
50530,164,106,0
50531,96,45,0
50532,364,40,1
50533,334,92,1
50534,289,99,1
50535,130,86,0
50536,82,71,0
50537,149,47,0
50538,269,75,1
50539,170,119,0
50540,282,87,1
50541,211,79,1
50542,168,82,0
50543,87,62,0
50544,219,45,1
50545,120,98,0
50546,233,96,1
50547,272,118,1
50548,105,63,0
50549,325,114,1
50550,167,70,0
50551,166,40,0
50552,86,71,0
50553,372,91,1
50554,308,94,1
50555,367,88,1
50556,118,66,0
50557,152,104,0
50558,325,110,1
50559,390,65,1
50560,177,70,0
50561,398,99,1
50562,217,101,1
50563,302,77,1
50564,322,97,1
50565,398,77,1
50566,357,45,1
50567,96,68,0
50568,277,66,1
50569,168,101,0
50570,303,70,1
50571,82,57,0
50572,240,74,1
50573,351,75,1
50574,289,66,1
50575,107,50,0
50576,144,98,0
50577,371,91,1
50578,245,44,1
50579,96,94,0
50580,104,58,0
50581,292,94,1
50582,146,84,0
50583,86,42,0
50584,229,68,1
50585,135,102,0
50586,223,107,1
50587,176,88,0
50588,84,93,0
50589,340,108,1
50590,115,105,0
50591,89,100,0
50592,100,70,0
50593,144,55,0
50594,170,88,0
50595,169,87,0
50596,325,95,1
50597,222,103,1
50598,95,107,0
50599,128,51,0
50600,288,101,1
50601,394,61,1
50602,90,60,0
50603,137,108,0
50604,93,75,0
50605,171,73,0
50606,103,95,0
50607,164,85,0
50608,276,69,1
50609,292,99,1
50610,141,109,0
50611,160,78,0
50612,98,114,0
50613,260,65,1
50614,342,55,1
50615,101,63,0
50616,175,87,0
50617,345,57,1
50618,165,42,0
50619,273,115,1
50620,148,101,0
50621,298,85,1
50622,97,114,0
50623,164,58,0
50624,142,105,0
50625,206,115,1
50626,207,115,1
50627,167,79,0
50628,124,106,0
50629,108,45,0
50630,140,80,0
50631,101,42,0
50632,344,74,1
50633,379,101,1
50634,173,64,0
50635,216,105,1
50636,137,117,0
50637,209,49,1
50638,177,114,0
50639,116,75,0
50640,155,60,0
50641,344,88,1
50642,158,68,0
50643,294,111,1
50644,93,66,0
50645,350,72,1
50646,167,106,0
50647,97,106,0
50648,279,98,1
50649,171,86,0
50650,178,59,0
50651,321,84,1
50652,115,52,0
50653,118,50,0
50654,245,62,1
50655,268,98,1
50656,179,71,0
50657,210,102,1
50658,203,113,1
50659,146,57,0
50660,99,80,0
50661,110,91,0
50662,305,96,1
50663,320,77,1
50664,210,88,1
50665,141,51,0
50666,288,114,1
50667,266,48,1
50668,258,93,1
50669,179,76,0
50670,129,113,0
50671,113,87,0
50672,165,114,0
50673,90,72,0
50674,345,79,1
50675,165,68,0
50676,373,49,1
50677,237,115,1
50678,153,54,0
50679,348,106,1
50680,146,79,0
50681,212,99,1
50682,391,68,1
50683,110,86,0
50684,228,90,1
50685,385,75,1
50686,245,56,1
50687,163,63,0
50688,124,117,0
50689,157,107,0
50690,274,116,1
50691,104,92,0
50692,298,55,1
50693,91,46,0
50694,178,94,0
50695,392,79,1
50696,329,89,1
50697,203,94,1
50698,89,114,0
50699,114,60,0
50700,167,115,0
50701,80,117,0
50702,287,85,1
50703,309,100,1
50704,132,56,0
50705,331,109,1
50706,334,100,1
50707,229,75,1
50708,96,76,0
50709,226,43,1
50710,329,78,1
50711,125,48,0
50712,230,115,1
50713,87,116,0
50714,119,69,0
50715,167,70,0
50716,139,73,0
50717,108,53,0
50718,129,117,0
50719,362,54,1
50720,145,88,0
50721,121,95,0
50722,111,107,0
50723,94,83,0
50724,165,116,0
50725,127,69,0
50726,272,69,1
50727,360,90,1
50728,84,119,0
50729,116,60,0
50730,165,118,0
50731,155,47,0
50732,111,119,0
50733,289,63,1
50734,80,65,0
50735,258,86,1
50736,96,65,0
50737,303,71,1
50738,349,83,1
50739,352,56,1
50740,133,102,0
50741,106,118,0
50742,117,99,0
50743,313,108,1
50744,170,64,0
50745,381,66,1
50746,244,112,1
50747,89,113,0
50748,247,87,1
50749,123,47,0
50750,118,107,0
50751,277,72,1
50752,217,69,1
50753,87,70,0
50754,125,94,0
50755,127,52,0
50756,85,83,0
50757,367,91,1
50758,138,107,0
50759,281,55,1
50760,146,61,0
50761,136,107,0
50762,153,93,0
50763,289,103,1
50764,274,55,1
50765,351,56,1
50766,285,66,1
50767,377,48,1
50768,107,90,0
50769,127,80,0
50770,241,50,1
50771,252,72,1
50772,80,94,0
50773,329,100,1
50774,348,87,1
50775,260,79,1
50776,286,85,1
50777,179,113,0
50778,80,83,0
50779,319,50,1
50780,315,63,1
50781,300,63,1
50782,96,46,0
50783,150,94,0
50784,171,97,0
50785,167,74,0
50786,282,59,1
50787,80,110,0
50788,312,87,1
50789,231,90,1
50790,107,90,0
50791,124,99,0
50792,114,93,0
50793,381,95,1
50794,121,51,0
50795,256,54,1
50796,250,84,1
50797,111,67,0
50798,148,92,0
50799,94,104,0
50800,122,88,0
50801,161,118,0
50802,234,45,1
50803,362,41,1
50804,203,51,1
50805,172,47,0
50806,131,116,0
50807,263,45,1
50808,113,109,0
50809,238,106,1
50810,309,101,1
50811,271,57,1
50812,339,45,1
50813,365,52,1
50814,157,110,0
50815,128,107,0
50816,152,40,0
50817,178,44,0
50818,347,103,1
50819,117,63,0
50820,97,103,0
50821,85,91,0
50822,173,88,0
50823,336,117,1
50824,232,59,1
50825,229,50,1
50826,103,110,0
50827,294,77,1
50828,132,58,0
50829,260,87,1
50830,220,50,1
50831,345,90,1
50832,169,62,0
50833,353,113,1
50834,105,95,0
50835,389,60,1
50836,134,119,0
50837,311,69,1
50838,96,50,0
50839,224,94,1
50840,104,65,0
50841,116,65,0
50842,262,43,1
50843,269,105,1
50844,310,90,1
50845,118,40,0
50846,156,111,0
50847,87,103,0
50848,367,68,1
50849,95,89,0
50850,383,79,1
50851,126,67,0
50852,106,67,0
50853,329,110,1
50854,336,89,1
50855,84,51,0
50856,270,118,1
50857,86,87,0
50858,114,56,0
50859,336,53,1
50860,306,52,1
50861,363,110,1
50862,116,73,0
50863,160,61,0
50864,112,111,0
50865,166,105,0
50866,398,53,1
50867,327,46,1
50868,95,111,0
50869,168,97,0
50870,296,86,1
50871,315,98,1
50872,94,108,0
50873,143,69,0
50874,300,76,1
50875,84,47,0
50876,228,115,1
50877,103,112,0
50878,179,69,0
50879,125,87,0
50880,123,75,0
50881,118,57,0
50882,349,90,1
50883,176,114,0
50884,90,98,0
50885,156,85,0
50886,337,56,1
50887,133,44,0
50888,103,94,0
50889,114,86,0
50890,179,64,0
50891,132,86,0
50892,104,51,0
50893,174,107,0
50894,244,56,1
50895,233,73,1
50896,109,91,0
50897,375,89,1
50898,97,98,0
50899,149,67,0
50900,121,45,0
50901,124,68,0
50902,264,65,1
50903,129,50,0
50904,99,46,0
50905,164,117,0
50906,149,63,0
50907,372,95,1
50908,138,116,0
50909,206,70,1
50910,131,100,0
50911,357,106,1
50912,133,94,0
50913,265,73,1
50914,175,78,0
50915,151,118,0
50916,136,114,0
50917,112,42,0
50918,345,98,1
50919,144,69,0
50920,234,70,1
50921,259,65,1
50922,111,114,0
50923,111,70,0
50924,172,40,0
50925,133,72,0
50926,143,74,0
50927,177,43,0
50928,347,53,1
50929,323,52,1
50930,234,91,1
50931,101,70,0
50932,238,67,1
50933,322,103,1
50934,256,109,1
50935,329,88,1
50936,94,47,0
50937,123,105,0
50938,163,57,0
50939,361,52,1
50940,342,50,1
50941,140,103,0
50942,119,58,0
50943,266,49,1
50944,398,115,1
50945,113,100,0
50946,388,73,1
50947,336,49,1
50948,314,108,1
50949,175,70,0
50950,91,50,0
50951,97,58,0
50952,326,47,1
50953,158,45,0
50954,149,99,0
50955,273,60,1
50956,89,55,0
50957,162,47,0
50958,259,105,1
50959,292,67,1
50960,233,119,1
50961,231,58,1
50962,239,87,1
50963,148,68,0
50964,127,86,0
50965,215,76,1
50966,161,83,0
50967,111,114,0
50968,118,116,0
50969,121,105,0
50970,83,107,0
50971,101,115,0
50972,385,100,1
50973,97,107,0
50974,174,64,0
50975,139,91,0
50976,116,88,0
50977,123,93,0
50978,107,81,0
50979,150,111,0
50980,129,107,0
50981,156,118,0
50982,80,60,0
50983,335,72,1
50984,168,101,0
50985,316,96,1
50986,294,113,1
50987,177,83,0
50988,167,69,0
50989,139,89,0
50990,307,72,1
50991,115,105,0
50992,94,42,0
50993,162,98,0
50994,152,87,0
50995,235,111,1
50996,108,70,0
50997,239,81,1
50998,131,96,0
50999,85,62,0
51000,274,114,1
51001,107,104,0
51002,153,112,0
51003,130,107,0
51004,176,59,0
51005,140,58,0
51006,215,116,1
51007,243,109,1
51008,148,56,0
51009,341,98,1
51010,353,41,1
51011,99,74,0
51012,98,83,0
51013,113,104,0
51014,347,69,1
51015,201,61,1
51016,250,56,1
51017,96,68,0
51018,93,53,0
51019,156,119,0
51020,123,80,0
51021,133,87,0
51022,270,103,1
51023,116,85,0
51024,279,56,1
51025,116,107,0
51026,152,76,0
51027,323,68,1
51028,116,70,0
51029,351,68,1
51030,371,104,1
51031,112,100,0
51032,101,42,0
51033,86,40,0
51034,138,66,0
51035,131,87,0
51036,86,108,0
51037,160,117,0
51038,251,61,1
51039,109,101,0
51040,81,117,0
51041,218,44,1
51042,225,66,1
51043,283,67,1
51044,131,93,0
51045,139,105,0
51046,296,108,1
51047,202,65,1
51048,89,90,0
51049,144,44,0
51050,133,109,0
51051,137,67,0
51052,173,61,0
51053,115,113,0
51054,152,80,0
51055,267,106,1
51056,292,107,1
51057,159,79,0
51058,137,108,0
51059,125,50,0
51060,305,111,1
51061,215,99,1
51062,323,88,1
51063,138,104,0
51064,134,49,0
51065,115,116,0
51066,294,95,1
51067,237,119,1
51068,157,110,0
51069,165,47,0
51070,93,108,0
51071,302,82,1
51072,116,66,0
51073,159,53,0
51074,364,63,1
51075,224,80,1
51076,210,106,1
51077,208,67,1
51078,85,69,0
51079,159,116,0
51080,177,117,0
51081,139,92,0
51082,296,63,1
51083,173,92,0
51084,172,64,0
51085,100,47,0
51086,161,55,0
51087,89,83,0
51088,80,105,0
51089,299,90,1
51090,364,68,1
51091,121,50,0
51092,235,66,1
51093,321,69,1
51094,110,50,0
51095,248,99,1
51096,380,103,1
51097,167,40,0
51098,110,86,0
51099,393,75,1
51100,133,88,0
51101,135,118,0
51102,107,59,0
51103,305,106,1
51104,88,60,0
51105,116,78,0
51106,168,64,0
51107,134,92,0
51108,312,101,1
51109,89,52,0
51110,129,53,0
51111,238,94,1
51112,142,117,0
51113,101,89,0
51114,115,97,0
51115,339,78,1
51116,144,64,0
51117,221,84,1
51118,164,46,0
51119,117,61,0
51120,126,99,0
51121,178,45,0
51122,122,112,0
51123,158,93,0
51124,220,98,1
51125,371,97,1
51126,178,67,0
51127,262,118,1
51128,330,47,1
51129,323,119,1
51130,152,47,0
51131,125,97,0
51132,175,80,0
51133,399,105,1
51134,96,84,0
51135,93,65,0
51136,179,97,0
51137,147,101,0
51138,115,106,0
51139,128,93,0
51140,397,60,1
51141,168,109,0
51142,132,80,0
51143,247,64,1
51144,82,61,0
51145,158,70,0
51146,134,61,0
51147,87,70,0
51148,102,45,0
51149,167,63,0
51150,344,102,1
51151,109,82,0
51152,282,117,1
51153,114,89,0
51154,126,49,0
51155,85,86,0
51156,267,90,1
51157,318,81,1
51158,219,43,1
51159,83,76,0
51160,345,119,1
51161,260,114,1
51162,179,84,0
51163,226,92,1
51164,90,62,0
51165,113,41,0
51166,312,113,1
51167,221,45,1
51168,108,46,0
51169,131,83,0
51170,297,47,1
51171,114,40,0
51172,170,95,0
51173,177,55,0
51174,128,93,0
51175,177,67,0
51176,229,62,1
51177,127,96,0
51178,89,78,0
51179,369,86,1
51180,287,52,1
51181,113,40,0
51182,81,64,0
51183,386,109,1
51184,150,74,0
51185,247,62,1
51186,276,50,1
51187,140,76,0
51188,225,110,1
51189,383,56,1
51190,365,58,1
51191,84,66,0
51192,358,83,1
51193,364,53,1
51194,125,73,0
51195,83,73,0
51196,328,59,1
51197,359,45,1
51198,135,112,0
51199,178,45,0
51200,386,63,1
51201,365,100,1
51202,258,100,1
51203,147,87,0
51204,295,40,1
51205,161,58,0
51206,144,73,0
51207,291,89,1
51208,358,45,1
51209,175,65,0
51210,111,79,0
51211,87,116,0
51212,81,43,0
51213,232,87,1
51214,151,87,0
51215,390,84,1
51216,281,77,1
51217,297,83,1
51218,155,93,0
51219,142,40,0
51220,142,89,0
51221,139,63,0
51222,111,109,0
51223,94,74,0
51224,379,50,1
51225,132,96,0
51226,211,88,1
51227,168,92,0
51228,339,59,1
51229,86,77,0
51230,245,113,1
51231,138,51,0
51232,399,72,1
51233,142,58,0
51234,375,105,1
51235,264,108,1
51236,119,65,0
51237,121,51,0
51238,121,113,0
51239,333,109,1
51240,160,102,0
51241,80,84,0
51242,165,66,0
51243,142,70,0
51244,144,110,0
51245,88,91,0
51246,350,73,1
51247,240,81,1
51248,145,63,0
51249,178,119,0
51250,222,106,1
51251,154,48,0
51252,163,108,0
51253,278,52,1
51254,100,106,0
51255,148,66,0
51256,124,52,0
51257,206,108,1
51258,211,104,1
51259,132,66,0
51260,251,60,1
51261,106,45,0
51262,347,105,1
51263,144,56,0
51264,99,106,0
51265,172,58,0
51266,89,100,0
51267,281,87,1
51268,173,104,0
51269,85,71,0
51270,299,66,1
51271,176,78,0
51272,367,78,1
51273,363,105,1
51274,129,88,0
51275,137,53,0
51276,99,92,0
51277,137,41,0
51278,120,109,0
51279,204,49,1
51280,377,44,1
51281,123,75,0
51282,350,103,1
51283,313,57,1
51284,91,114,0
51285,314,56,1
51286,125,86,0
51287,124,94,0
51288,330,119,1
51289,147,76,0
51290,151,63,0
51291,108,117,0
51292,124,62,0
51293,148,106,0
51294,141,87,0
51295,142,99,0
51296,158,87,0
51297,145,60,0
51298,98,119,0
51299,142,74,0
51300,130,42,0
51301,249,107,1
51302,93,47,0
51303,120,52,0
51304,288,72,1
51305,82,99,0
51306,120,110,0
51307,82,95,0
51308,273,41,1
51309,129,59,0
51310,299,109,1
51311,130,66,0
51312,158,81,0
51313,271,109,1
51314,87,104,0
51315,84,49,0
51316,361,80,1
51317,96,43,0
51318,128,84,0
51319,163,117,0
51320,138,86,0
51321,284,101,1
51322,148,86,0
51323,84,59,0
51324,80,95,0
51325,271,61,1
51326,242,80,1
51327,93,93,0
51328,104,117,0
51329,121,60,0
51330,120,113,0
51331,139,42,0
51332,137,88,0
51333,380,49,1
51334,154,65,0
51335,125,88,0
51336,130,119,0
51337,95,85,0
51338,230,102,1
51339,118,69,0
51340,81,45,0
51341,86,97,0
51342,328,80,1
51343,396,47,1
51344,151,69,0
51345,213,48,1
51346,274,78,1
51347,275,91,1
51348,80,108,0
51349,320,94,1
51350,137,44,0
51351,105,89,0
51352,163,49,0
51353,144,71,0
51354,127,48,0
51355,282,106,1
51356,163,100,0
51357,174,108,0
51358,85,78,0
51359,107,117,0
51360,153,61,0
51361,219,42,1
51362,315,103,1
51363,167,80,0
51364,305,48,1
51365,148,92,0
51366,128,119,0
51367,162,50,0
51368,98,75,0
51369,157,56,0
51370,293,117,1
51371,85,52,0
51372,281,114,1
51373,317,77,1
51374,323,58,1
51375,109,119,0
51376,296,55,1
51377,162,59,0
51378,173,111,0
51379,211,81,1
51380,131,71,0
51381,114,97,0
51382,91,99,0
51383,151,94,0
51384,175,105,0
51385,152,87,0
51386,298,98,1
51387,200,106,1
51388,360,76,1
51389,176,64,0
51390,366,79,1
51391,395,86,1
51392,243,44,1
51393,104,116,0
51394,377,73,1
51395,164,110,0
51396,135,59,0
51397,146,109,0
51398,172,119,0
51399,171,113,0
51400,219,48,1
51401,140,61,0
51402,214,63,1
51403,125,118,0
51404,163,118,0
51405,125,99,0
51406,379,64,1
51407,145,75,0
51408,357,111,1
51409,175,75,0
51410,82,71,0
51411,347,116,1
51412,112,65,0
51413,127,62,0
51414,172,40,0
51415,126,74,0
51416,136,108,0
51417,214,64,1
51418,145,105,0
51419,279,109,1
51420,302,103,1
51421,178,73,0
51422,131,119,0
51423,145,82,0
51424,110,119,0
51425,91,98,0
51426,176,115,0
51427,294,54,1
51428,114,47,0
51429,148,108,0
51430,97,78,0
51431,102,107,0
51432,148,85,0
51433,133,116,0
51434,83,42,0
51435,257,75,1
51436,348,53,1
51437,92,114,0
51438,336,103,1
51439,144,66,0
51440,382,46,1
51441,102,81,0
51442,110,119,0
51443,139,93,0
51444,125,60,0
51445,296,100,1
51446,99,116,0
51447,177,96,0
51448,310,115,1
51449,272,99,1
51450,116,63,0
51451,260,119,1
51452,149,94,0
51453,178,84,0
51454,124,42,0
51455,175,43,0
51456,133,68,0
51457,393,40,1
51458,241,77,1
51459,175,46,0
51460,311,102,1
51461,226,68,1
51462,225,70,1
51463,116,112,0
51464,351,79,1
51465,141,57,0
51466,155,81,0
51467,89,113,0
51468,179,95,0
51469,300,40,1
51470,367,44,1
51471,102,92,0
51472,141,80,0
51473,157,53,0
51474,138,60,0
51475,90,60,0
51476,270,40,1
51477,150,43,0
51478,157,115,0
51479,257,87,1
51480,90,93,0
51481,345,92,1
51482,80,60,0
51483,201,117,1
51484,133,98,0
51485,133,58,0
51486,135,75,0
51487,107,88,0
51488,84,83,0
51489,140,54,0
51490,273,119,1
51491,219,43,1
51492,173,42,0
51493,121,105,0
51494,135,110,0
51495,388,67,1
51496,391,47,1
51497,130,115,0
51498,108,79,0
51499,355,82,1
51500,285,91,1
51501,259,44,1
51502,98,51,0
51503,103,45,0
51504,154,52,0
51505,297,40,1
51506,350,76,1
51507,170,51,0
51508,288,101,1
51509,140,86,0
51510,287,55,1
51511,177,61,0
51512,162,46,0
51513,132,114,0
51514,212,67,1
51515,133,42,0
51516,136,49,0
51517,127,67,0
51518,314,59,1
51519,150,103,0
51520,174,40,0
51521,280,53,1
51522,298,89,1
51523,274,41,1
51524,95,80,0
51525,93,49,0
51526,148,106,0
51527,142,93,0
51528,148,97,0
51529,167,51,0
51530,231,41,1
51531,85,64,0
51532,141,65,0
51533,325,91,1
51534,104,79,0
51535,139,85,0
51536,119,75,0
51537,202,54,1
51538,284,82,1
51539,293,69,1
51540,149,72,0
51541,207,52,1
51542,150,87,0
51543,268,69,1
51544,299,42,1
51545,397,64,1
51546,374,105,1
51547,113,84,0
51548,238,100,1
51549,299,111,1
